"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"2075","111820","지와이커머스","KOSDAQ","인터넷",2470,0,0,68476266950
"2076","115450","지트리비앤티","KOSDAQ","유통",11850,-150,-1.25,320993025150
"2077","219750","지티지웰니스","KOSDAQ","의료·정밀기기",6230,30,0.48,100314594030
"2078","018120","진로발효","KOSDAQ","음식료·담배",30800,0,0,203930496000
"2079","109820","진매트릭스","KOSDAQ","기타서비스",10650,0,0,217192266000
"2080","086060","진바이오텍","KOSDAQ","음식료·담배",6270,130,2.12,53988380490
"2081","036890","진성티이씨","KOSDAQ","기계·장비",14050,750,5.64,315875865400
"2082","007370","진양제약","KOSDAQ","제약",6190,100,1.64,7.428e+10
"2083","085660","차바이오텍","KOSDAQ","제약",19200,-50,-0.26,1008941222400
"2084","094850","참좋은여행","KOSDAQ","기타서비스",11050,-250,-2.21,1.547e+11
"2085","004650","창해에탄올","KOSDAQ","음식료·담배",12950,50,0.39,119021960750
"2086","311690","천랩","KOSDAQ","기타서비스",34800,-50,-0.14,136062710400
"2087","278280","천보","KOSDAQ","화학",157600,1800,1.16,1.576e+12
"2088","096240","청담러닝","KOSDAQ","기타서비스",22100,1800,8.87,165171554600
"2089","013720","청보산업","KOSDAQ","운송장비·부품",13900,-550,-3.81,113684916900
"2090","066360","체리부로","KOSDAQ","음식료·담배",2195,0,0,61179860930
"2091","047820","초록뱀","KOSDAQ","오락·문화",2250,30,1.35,291639654000
"2092","094360","칩스앤미디어","KOSDAQ","소프트웨어",16550,-50,-0.3,159547213250
"2093","016920","카스","KOSDAQ","유통",2315,75,3.35,55431975870
"2094","284620","카이노스메드","KOSDAQ","기타서비스",3910,-25,-0.64,410841263720
"2095","293490","카카오게임즈","KOSDAQ","디지털컨텐츠",52000,200,0.39,3875120652000
"2096","042000","카페24","KOSDAQ","인터넷",33000,250,0.76,621546189000
"2097","317530","캐리소프트","KOSDAQ","오락·문화",5710,50,0.88,38606429160
"2098","071850","캐스텍코리아","KOSDAQ","운송장비·부품",3170,-35,-1.09,52524325960
"2099","180400","캔서롭","KOSDAQ","기타서비스",7740,0,0,178624199880
"2100","050110","캠시스","KOSDAQ","IT부품",2610,-10,-0.38,181513253880
"2101","900310","컬러레이","KOSDAQ","금융",1940,5,0.26,1.0476e+11
"2102","078340","컴투스","KOSDAQ","디지털컨텐츠",159300,1500,0.95,2049620706000
"2103","307930","컴퍼니케이","KOSDAQ","금융",11450,200,1.78,178734500000
"2104","263700","케어랩스","KOSDAQ","소프트웨어",10200,-800,-7.27,175807526400
"2105","214370","케어젠","KOSDAQ","제약",67700,-100,-0.15,727301100000
"2106","221980","케이디켐","KOSDAQ","화학",14500,-100,-0.68,58504600000
"2107","043290","케이맥","KOSDAQ","기계·장비",2870,35,1.23,110505248770
"2108","317030","케이비17호스팩","KOSDAQ","금융",2080,0,0,11358880000
"2109","323940","케이비제18호스팩","KOSDAQ","금융",2050,-10,-0.49,16035100000
"2110","330990","케이비제19호스팩","KOSDAQ","금융",2085,5,0.24,8967585000
"2111","342550","케이비제20호스팩","KOSDAQ","금융",2055,0,0,13359555000
"2112","192250","케이사인","KOSDAQ","소프트웨어",2105,30,1.45,148762995985
"2113","115500","케이씨에스","KOSDAQ","컴퓨터서비스",8550,-10,-0.12,1.026e+11
"2114","089150","케이씨티","KOSDAQ","컴퓨터서비스",8920,-90,-1,1.52978e+11
"2115","025880","케이씨피드","KOSDAQ","음식료·담배",4160,115,2.84,69537969280
"2116","093320","케이아이엔엑스","KOSDAQ","인터넷",76600,2300,3.1,3.73808e+11
"2117","073010","케이에스피","KOSDAQ","기계·장비",1625,0,0,58812417625
